08:76:ff:87:fe:7e, a4:b1:e9:ed:46:74, a4:b1:e9:44:08:ad, 9c:97:26:9b:94:47, 64:70:02:b2:6c:2a, 00:26:5b:16:bf:09, 00:26:5b:16:bf:08, 00:26:5b:1c:b4:99, 00:1f:9f:ff:37:36, 0c:47:3d:09:df:c8, 0c:47:3d:09:df:c9, x, y
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6
0, 0, 0, -67, -84, -47, -47, 0, 0, 0, 0, 24, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7
0, 0, -92, -58, -81, -56, -56, 0, 0, 0, 0, 21, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7
0, 0, 0, -64, -83, -57, -57, 0, 0, 0, 0, 25, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 8
0, 0, -90, -62, -81, -56, -56, 0, 0, 0, 0, 21, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 8
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9
0, 0, -76, 0, 0, 0, 0, 0, 0, -61, -59, 17, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 9
0, 0, -87, -81, 0, -75, -75, 0, 0, 0, 0, 20, 9
0, 0, -88, -64, -85, -63, -63, 0, 0, 0, 0, 21, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 9
